delivery_id,DeliveryID,order_id,OrderID,customer_id,CustomerID,carrier,Carrier,tracking_number,TrackingNum,dispatch_date,DispatchDate,estimated_delivery,EstimatedDelivery,actual_delivery,ActualDelivery,delivery_status,DeliveryStatus,delivery_attempts,Attempts,weight_kg,Weight,dimensions,Dimensions,delivery_address,DeliveryAddress,city,City,state,State,country,Country,signature_required,SignatureRequired,delivered_to,DeliveredTo,delivery_notes,SLA_met,SLAMet,return_initiated,ReturnInitiated,return_reason,tmp_del
DEL0000011,DEL0000011,ORD0003178,ORD0003178,CUST000776,CUST000776,FedEx,USPS,GZ389423348,TRK51206816,07-02-2021,2021-02-07,16-02-2021,2021-02-16,,2021-02-21,Out for Delivery,Delivered,4,4,4.57 kg,100.94 lbs,21x17x26 cm,21x17x26 cm,"Chicago, IL","Chicago, IL",Chicago,Chicago,IL,IL,United States of America,FR,1,1,N/A,Recipient,Fragile,No,No,No,true,,
DEL0000012,DEL0000012,ORD0000614,ORD0000614,CUST001229,CUST001229,dhl,USPS,OK957481744,TRK21409396,08-11-2023,2023-11-08,11/18/2023,2023-11-18,11/23/2023,2023-11-23,NULL,In Transit,4,4,23.14,36.45 lbs,34x42x23 cm,34x42x23 cm,New Yrok,6113 Blvd New Yrok,New Yrok,New Yrok,NaN,CA,United States of America,FR,yes,No,,,∑ emoji 📦,No,No,TRUE,false,Quality issue,
DEL0000013,DEL0000013,ORD0004406,ORD0004406,CUST001414,CUST001414,UPS,UPS,NO681504151,TRK15664092,12/20/2020,2020-12-20,2020-12-21,2020-12-21,,2020-12-20,Returned,In Transit,5,1,47.76 kg,4.39 kg,32x25x22 cm,32x25x22 cm,"Sydeny, TX",7975 Blvd Sydeny,Sydeny,Sydeny,TX,TX,US,DE,N,Y,NULL,,∑ emoji 📦,Yes,Yes,FALSE,N,Wrong item,
DEL0000014,DEL0000014,ORD0003516,ORD0003516,CUST000520,CUST000520,dhl,FedEx,FC394236189,TRK73454978,N/A,2023-10-02,2023-10-09,2023-10-09,2023-10-02,,Failed,Failed,null,5,36.54 kg,null,56x14x6 cm,56x14x6 cm,null,8378 Ln Jacksonville,Jacksonville,Jacksonville,CA,CA,United States,FR,TRUE,NULL,Neighbor,Neighbor,,Yes,Yes,Y,true,,
DEL0000015,DEL0000015,ORD0002498,ORD0002498,CUST000258,NULL,fedex,USPS,HJ470062206,TRK21403726,14-10-2021,2021-10-14,,2021-10-21,N/A,2021-10-12,Out for Delivery,In Transit,5,3,40.98 kg,37710.0 g,30x41x2 cm,30x41x2 cm,Austin,"3492 Main St, Austin, CA 99877",Austin,Austin,CA,CA,United States of America,DE,FALSE,FALSE,Reception,Left at door,Ring bell,Yes,Yes,No,N/A,Quality issue,
DEL0000016,DEL0000016,ORD0003285,,CUST001943,CUST001943,DHL,USPS,UM489302584,TRK40292048,03/20/2021,2021-03-20,21-03-2021,2021-03-21,,2021-04-03,Pending,Failed,1,4,35.32 lbs,35.23,22x11x17 cm,22x11x17 cm,"8003 Elm St, Jacksonville, CA 24706",Jacksonville,Jacksonville,Jacksonville,CA,CA,United States of America,GB,N,Y,Reception,Neighbor,Ring bell,No,No,yes,0,,
DEL0000017,DEL0000017,ORD0001090,ORD0001090,CUST000711,CUST000711,DHL,UPS,LW953873176,TRK91085955,04/07/2020,2020-04-07,2020-04-09,2020-04-09,2020-04-18,2020-04-18,in_transit,,5,3,54.33 lbs,36.45 kg,8x27x29 cm,8x27x29 cm,"4923 Oak St, Chicago, FL 97119","6920 Park St, Chicago, FL 54646",Chicago,Chicago,FL,FL,United States of America,IN,No,false,NaN,Neighbor,Leave at door,No,No,N,yes,Changed mind,
DEL0000018,DEL0000018,ORD0004304,ORD0004304,CUST001345,CUST001345,Amazon Logistics,USPS,DY933827912,TRK71365876,21-04-2022,2022-04-21,04/22/2022,2022-04-22,,2022-05-03,In Transit,Delivered,2,4,46170.0 g,41.03 kg,26x54x28 cm,26x54x28 cm,8167 Ave San Diego,"729 Oak St, San Diego, CA 65093",San Diego,San Diego,CA,CA,U.S.A,GB,No,no,Reception,,Leave at door,No,No,false,0,Changed mind,
DEL0000019,DEL0000019,ORD0001820,ORD0001820,CUST001341,CUST001341,USPS,UPS,DT881518196,TRK58603808,04-06-2022,2022-06-04,18-06-2022,2022-06-18,06/21/2022,2022-06-21,in_transit,Failed,2,2,47350.0 g,13.95 kg,28x6x24 cm,28x6x24 cm,9034 Ave San Franciso,NaN,San Franciso,San Franciso,FL,FL,usa,FR,0,Yes,Neighbor,Recipient,<br/>handle with care,No,No,null,1,,
DEL0000020,DEL0000020,ORD0000616,ORD0000616,CUST000087,CUST000087,FedEx,FedEx,HB791933358,TRK83891210,06-12-2020,2020-12-06,12/15/2020,2020-12-15,12/17/2020,2020-12-17,Returned,Failed,5,4,4530.0 g,16840.0 g,32x17x5 cm,32x17x5 cm,"5276 Main St, San Franciso, TX 86458",San Franciso,San Franciso,San Franciso,TX,TX,United States,FR,Yes,true,Neighbor,Recipient,Call before delivery,No,No,1,Yes,,
DEL0000021,DEL0000021,ORD0001179,ORD0001179,CUST000731,CUST000731,FedEx,DHL,NP936661837,TRK70717437,06/26/2020,2020-06-26,2020-07-08,2020-07-08,07/06/2020,2020-07-06,in_transit,Failed,4,2,22630.0 g,420.0 g,17x56x6 cm,17x56x6 cm,Chicago,"6369 Elm St, Chicago, TX 15385",N/A,Chicago,TX,TX,USA,US,FALSE,false,Recipient,Left at door,Call before delivery,Yes,Yes,No,no,Damaged,
DEL0000022,DEL0000022,ORD0001464,ORD0001464,CUST000127,CUST000127,fedex,DHL,RM328733339,TRK45509433,22-05-2020,2020-05-22,2020-05-25,2020-05-25,05/24/2020,2020-05-24,Pending,Returned,NULL,5,21360.0 g,9440.0 g,25x38x13 cm,25x38x13 cm,8569 Ln Austin,"7729 Oak St, Austin, NY 26863",Austin,Austin,NY,NY,usa,US,true,N,Neighbor,,Leave at door,Yes,Yes,false,yes,,
DEL0000023,DEL0000023,ORD0002715,ORD0002715,,CUST001989,USPS,DHL,TN418743112,TRK34904219,03/25/2022,2022-03-25,02-04-2022,2022-04-02,03/27/2022,,Returned,Failed,4,,4.77 kg,51.99 lbs,57x59x4 cm,57x59x4 cm,Houston,325 Dr Houston,Houston,Houston,IL,IL,United States,DE,,0,Left at door,,Call before delivery,Yes,Yes,Yes,FALSE,,
DEL0000024,DEL0000024,ORD0003768,ORD0003768,CUST000943,CUST000943,fedex,DHL,NT247290090,TRK97594976,2020-09-02,2020-09-02,2020-09-03,2020-09-03,09/21/2020,2020-09-21,DELIVERED,Failed,2,2,40.31,51.64 lbs,24x50x10 cm,24x50x10 cm,Chicago,"Chicago, PA",null,Chicago,PA,PA,USA,US,true,No,Left at door,Recipient,∑ emoji 📦,No,No,Y,NULL,,
DEL0000025,DEL0000025,ORD0003749,ORD0003749,CUST000700,CUST000700,Amazon Logistics,USPS,XF361945638,TRK79476450,NaN,2022-04-12,14-04-2022,2022-04-14,04/12/2022,2022-04-12,Delivered,Returned,4,1,45620.0 g,5820.0 g,12x48x9 cm,12x48x9 cm,Jacksonville,"Jacksonville, IL",Jacksonville,Jacksonville,null,IL,United States,US,1,Yes,Left at door,Neighbor,Leave at door,Yes,Yes,0,Y,Wrong item,
DEL0000026,DEL0000026,ORD0002878,ORD0002878,CUST001352,CUST001352,DHL,DHL,CC390461299,TRK15141464,09-01-2023,2023-01-09,01/23/2023,null,01/28/2023,2023-01-28,Lost,Failed,4,,21.68 lbs,102.05 lbs,58x30x30 cm,58x30x30 cm,"4401 Elm St, Austin, IL 60033","3998 Oak St, Austin, IL 89411",Austin,Austin,IL,IL,usa,JP,1,1,Reception,Left at door,,No,No,0,1,Changed mind,
DEL0000027,DEL0000027,ORD0002295,null,CUST000372,CUST000372,FedEx,USPS,AD456154344,TRK51783884,01-09-2020,2020-09-01,2020-09-07,N/A,09/20/2020,2020-09-20,delivered,In Transit,1,5,28500.0 g,12.09 kg,41x52x20 cm,41x52x20 cm,6074 Ln Austin,N/A,Austin,Austin,IL,IL,usa,IN,No,1,Recipient,Left at door,Fragile,No,No,0,yes,,
DEL0000028,DEL0000028,ORD0002172,ORD0002172,CUST001387,CUST001387,UPS,FedEx,,TRK54536913,2022-03-24,2022-03-24,04-04-2022,2022-04-04,2022-04-02,,DELIVERED,Returned,3,1,,40.86,52x10x28 cm,N/A,"6608 Park St, New Yrok, NY 96339","New Yrok, NY",New Yrok,New Yrok,NY,NY,United States of America,JP,1,N,Neighbor,Neighbor,N/A,Yes,Yes,N/A,Y,,
DEL0000029,DEL0000029,ORD0003429,ORD0003429,CUST001222,CUST001222,ups,UPS,YD226573090,TRK39168785,2023-07-01,2023-07-01,2023-07-05,2023-07-05,07/02/2023,2023-07-02,Pending,Failed,2,1,24530.0 g,21.52 kg,24x14x30 cm,24x14x30 cm,"New Yrok, TX","8960 Lake St, New Yrok, TX 51421",New Yrok,New Yrok,TX,TX,USA,NaN,0,0,Neighbor,Left at door,<br/>handle with care,Yes,,Yes,false,Wrong item,
DEL0000030,DEL0000030,ORD0001357,ORD0001357,CUST000265,CUST000265,ups,USPS,NN817911693,TRK43324242,10/23/2020,2020-10-23,10/26/2020,2020-10-26,10/27/2020,2020-10-27,NaN,Returned,1,null,11.52,null,46x46x10 cm,46x46x10 cm,Los Angeles,"4885 Main St, Los Angeles, TX 32730",Los Angeles,Los Angeles,,TX,US,IN,0,yes,N/A,,Ring bell,No,No,N,N,,
DEL0000031,DEL0000031,ORD0004438,ORD0004438,CUST001319,null,DHL,UPS,FC285214677,TRK48307040,12-02-2021,2021-02-12,24-02-2021,2021-02-24,02/14/2021,2021-02-14,Lost,,4,,35.61,10.22,10x6x11 cm,10x6x11 cm,"1607 Oak St, San Franciso, NY 99028","3218 Main St, San Franciso, NY 90160",San Franciso,San Franciso,NY,NY,United States of America,US,No,Y,Reception,,Fragile,Yes,Yes,yes,yes,Wrong item,
DEL0000032,DEL0000032,ORD0003606,ORD0003606,CUST000361,CUST000361,USPS,USPS,KY734627101,TRK29431666,11-04-2021,N/A,13-04-2021,2021-04-13,04/25/2021,2021-04-25,In Transit,In Transit,3,,NULL,74.64 lbs,6x45x23 cm,6x45x23 cm,5815 Ave Sydeny,Sydeny,Sydeny,Sydeny,CA,CA,US,FR,FALSE,true,,Left at door,Call before delivery,No,No,yes,FALSE,,
DEL0000033,DEL0000033,ORD0004425,NaN,CUST000809,CUST000809,DHL,USPS,SN462190396,TRK29633799,04/28/2022,2022-04-28,04/29/2022,NaN,,,pending,Failed,1,3,10.3,,12x15x29 cm,12x15x29 cm,"Los Angeles, TX","Los Angeles, TX",Los Angeles,Los Angeles,,TX,US,DE,Y,1,,,∑ emoji 📦,No,NaN,No,Yes,,
DEL0000034,DEL0000034,ORD0000809,ORD0000809,CUST000135,,fedex,DHL,OZ382261874,TRK55822665,01-05-2020,2020-05-01,2020-05-08,2020-05-08,NULL,2020-05-20,Pending,Returned,2,,28930.0 g,77.66 lbs,49x44x16 cm,49x44x16 cm,4716 Ave Tokyoo,"9862 Park St, Tokyoo, FL 79901",Tokyoo,Tokyoo,FL,FL,United States,JP,1,yes,,Recipient,∑ emoji 📦,No,No,1,Yes,Quality issue,
DEL0000015,DEL0000035,ORD0004396,ORD0004396,CUST000316,CUST000316,OnTrac,USPS,BQ963668158,TRK79174195,03/28/2023,2023-03-28,07-04-2023,2023-04-07,,2023-04-15,NaN,Delivered,2,5,N/A,47.21 kg,52x48x30 cm,52x48x30 cm,Phoenix,1021 Ln Phoenix,Phoenix,Phoenix,FL,FL,usa,FR,0,no,,Recipient,<br/>handle with care,No,No,yes,N,,
DEL0000036,N/A,ORD0001667,ORD0001667,CUST001394,,UPS,FedEx,YZ325703873,TRK42702935,06/05/2023,2023-06-05,,2023-06-13,06/11/2023,null,,Failed,4,2,18.45,21.78 kg,58x36x14 cm,58x36x14 cm,"9725 Main St, San Diego, TX 93573",1374 Dr San Diego,San Diego,San Diego,TX,TX,NaN,IN,0,no,Reception,Neighbor,Leave at door,Yes,Yes,TRUE,Yes,,
DEL0000037,DEL0000037,ORD0001619,ORD0001619,CUST001999,CUST001999,fedex,DHL,KK170999966,TRK24963568,2020-04-29,2020-04-29,01-05-2020,2020-05-01,,2020-05-14,In Transit,In Transit,5,2,15270.0 g,41.94 lbs,60x48x17 cm,60x48x17 cm,"738 Park St, Chicago, CA 83787",Chicago,Chicago,Chicago,CA,CA,U.S.A,US,Y,TRUE,Left at door,Left at door,Ring bell,No,No,false,no,,
DEL0000038,DEL0000038,ORD0001395,ORD0001395,CUST001322,CUST001322,USPS,DHL,GX919988920,TRK16242272,27-03-2022,2022-03-27,04/04/2022,2022-04-04,,2022-04-01,Delivered,Failed,5,3,2.95 kg,44.52 kg,53x12x4 cm,53x12x4 cm,NaN,5416 Ave San Jose,San Jose,San Jose,NaN,TX,U.S.A,US,Yes,FALSE,Left at door,Recipient,Ring bell,Yes,Yes,FALSE,FALSE,Not delivered,
DEL0000039,DEL0000039,ORD9282044,ORD9282044,null,CUST000809,dhl,FedEx,DG264308893,TRK75141881,2020-04-07,2020-04-07,17-04-2020,2020-04-17,04/13/2020,2020-04-13,pending,Failed,,4,,42.73,8x24x10 cm,8x24x10 cm,Sydeny,260 Ln Sydeny,Sydeny,Sydeny,CA,CA,U.S.A,US,1,FALSE,,,∑ emoji 📦,Yes,Yes,1,1,Damaged,
DEL0000040,DEL0000040,ORD0002635,ORD0002635,CUST000208,,FedEx,DHL,WV374650891,TRK37593028,26-11-2023,2023-11-26,30-11-2023,2023-11-30,11/24/2023,,Failed,Delivered,1,2,24500.0 g,69.44 lbs,10x5x7 cm,10x5x7 cm,"2151 Oak St, Austin, TX 14968","2270 Oak St, Austin, TX 42335",Austin,Austin,TX,TX,United States of America,NULL,N/A,0,Neighbor,Recipient,Leave at door,Yes,null,FALSE,Y,Wrong item,
DEL0000041,DEL0000041,ORD0003105,ORD0003105,CUST001600,CUST001600,DHL,DHL,SS602858500,TRK30619545,25-04-2022,2022-04-25,05/07/2022,2022-05-07,05/15/2022,,,In Transit,2,2,42.69 kg,9.26,26x21x30 cm,26x21x30 cm,"8126 Park St, Tokyoo, TX 25036",Tokyoo,Tokyoo,Tokyoo,TX,TX,United States,IN,null,false,,Recipient,Call before delivery,No,No,FALSE,0,Changed mind,
DEL0000042,DEL0000042,ORD0000724,ORD0000724,CUST000665,CUST000665,ups,FedEx,,TRK16590307,23-12-2020,2020-12-23,,2020-12-25,2021-01-10,2021-01-10,DELIVERED,,4,2,36.99 kg,85.66 lbs,54x49x2 cm,54x49x2 cm,Londn,"Londn, CA",Londn,Londn,CA,CA,usa,IN,0,no,Recipient,,NULL,No,No,Yes,TRUE,Wrong item,
DEL0000043,DEL0000043,ORD0000508,ORD0000508,CUST000048,CUST000048,LaserShip,DHL,GL296650758,TRK48662953,26-02-2021,2021-02-26,03/02/2021,2021-03-02,03/10/2021,2021-03-10,In Transit,Returned,3,3,43.13 kg,35.72 kg,15x54x8 cm,15x54x8 cm,"New Yrok, CA",New Yrok,New Yrok,New Yrok,CA,CA,U.S.A,DE,true,Yes,,null,Fragile,No,No,0,N,Changed mind,
DEL0000044,DEL0000044,ORD0004558,ORD0004558,CUST001325,CUST001325,FedEx,USPS,WV739898421,TRK60885155,08-09-2023,2023-09-08,11-09-2023,2023-09-11,09/20/2023,2023-09-20,Delivered,Failed,4,4,24.3 kg,7900.0 g,,50x22x9 cm,San Franciso,"San Franciso, AZ",San Franciso,San Franciso,AZ,AZ,U.S.A,DE,false,FALSE,Recipient,Recipient,∑ emoji 📦,No,No,FALSE,Yes,Changed mind,
DEL0000045,DEL0000045,ORD0003945,ORD0003945,CUST000125,CUST000125,fedex,UPS,ZN646850605,TRK18038694,,2023-05-04,05/17/2023,2023-05-17,2023-05-07,NaN,Out for Delivery,Delivered,3,5,27.35,13.21 lbs,60x25x17 cm,60x25x17 cm,"San Jose, NY",7772 Dr San Jose,San Jose,San Jose,NY,NY,USA,JP,true,true,N/A,Left at door,Leave at door,Yes,Yes,FALSE,no,,
DEL0000012,DEL0000046,ORD0003391,ORD0003391,CUST000395,CUST000395,,FedEx,ZI172565716,TRK68057664,12-06-2020,2020-06-12,2020-06-19,2020-06-19,,2020-06-18,,In Transit,1,2,28.24 kg,45.89,42x42x11 cm,42x42x11 cm,8135 Ave San Jose,7174 Blvd San Jose,San Jose,San Jose,TX,,United States,DE,0,0,Recipient,Recipient,Leave at door,N/A,Yes,no,Yes,,
DEL0000047,DEL0000047,ORD0004697,ORD0004697,CUST000946,CUST000946,dhl,FedEx,IP675145107,TRK72069386,01/18/2021,2021-01-18,2021-01-22,2021-01-22,01/29/2021,,Failed,Failed,2,4,16660.0 g,2.55,51x26x8 cm,51x26x8 cm,"9390 Main St, Jacksonville, TX 54445",4277 Ave Jacksonville,Jacksonville,Jacksonville,TX,TX,usa,DE,true,No,Recipient,Left at door,Fragile,No,N/A,Y,TRUE,Damaged,
DEL0000048,DEL0000048,ORD0001123,ORD0001123,N/A,CUST000810,,USPS,QT552222413,TRK70987435,10/29/2020,2020-10-29,11/06/2020,2020-11-06,10/31/2020,,in_transit,In Transit,NULL,2,7640.0 g,N/A,21x24x30 cm,21x24x30 cm,Tokyoo,3217 Blvd Tokyoo,Tokyoo,Tokyoo,AZ,AZ,United States of America,GB,TRUE,Y,Recipient,Recipient,Call before delivery,Yes,Yes,TRUE,TRUE,Not delivered,
DEL0000049,DEL0000049,ORD0003937,ORD0003937,CUST001437,CUST001437,DHL,FedEx,ZI332070837,TRK32142183,01/14/2023,2023-01-14,2023-01-23,2023-01-23,01/30/2023,2023-01-30,in_transit,In Transit,4,4,25.79 kg,2730.0 g,11x17x30 cm,11x17x30 cm,Philadelphia,"4338 Lake St, Philadelphia, NY 74969",Philadelphia,Philadelphia,NY,NY,United States,FR,NaN,1,N/A,,Fragile,No,No,0,Yes,,
DEL0000050,DEL0000050,ORD0000727,ORD0000727,CUST000437,CUST000437,LaserShip,FedEx,FJ164567311,TRK87454762,11-02-2021,2021-02-11,02/15/2021,2021-02-15,,2021-02-19,Lost,,2,3,10470.0 g,99.71 lbs,32x11x21 cm,32x11x21 cm,Sydeny,"Sydeny, PA",Sydeny,Sydeny,PA,NULL,US,FR,Yes,true,N/A,N/A,Leave at door,No,No,Yes,No,Wrong item,
DEL0000051,DEL0000051,ORD0003030,ORD0003030,CUST000102,CUST000102,OnTrac,UPS,SI603342643,TRK49864313,2023-10-21,2023-10-21,11/01/2023,2023-11-01,2023-11-10,2023-11-10,In Transit,Failed,1,5,2.07,46780.0 g,NaN,26x54x22 cm,"5861 Park St, Austin, CA 14295","Austin, CA",Austin,Austin,CA,CA,United States of America,FR,false,yes,Neighbor,Neighbor,Call before delivery,No,No,N,0,,
DEL0000052,DEL0000052,ORD0003299,ORD0003299,CUST001510,CUST001510,USPS,FedEx,UE761941236,TRK70766209,01/07/2023,2023-01-07,16-01-2023,2023-01-16,,,delivered,Failed,N/A,5,5.07 lbs,35.99 kg,25x5x17 cm,25x5x17 cm,"Sydeny, NY","9435 Park St, Sydeny, NY 85230",Sydeny,Sydeny,NY,NY,USA,null,0,Y,,,N/A,No,No,Yes,Yes,,
DEL0000053,DEL0000053,ORD0003257,,CUST000993,CUST000993,OnTrac,NULL,EJ883262682,TRK95091347,N/A,2023-05-26,2023-06-05,2023-06-05,06/13/2023,2023-06-13,Delivered,Delivered,4,4,null,57.18 lbs,14x58x6 cm,14x58x6 cm,Los Angeles,"Los Angeles, AZ",Los Angeles,Los Angeles,AZ,AZ,USA,GB,false,yes,Reception,Neighbor,Ring bell,No,No,FALSE,Yes,,
DEL0000054,DEL0000054,ORD0001232,ORD0001232,CUST001625,CUST001625,DHL,DHL,FK701413451,TRK93105265,09/14/2023,2023-09-14,19-09-2023,2023-09-19,2023-09-14,2023-09-14,Delivered,In Transit,5,4,6330.0 g,25.63 kg,21x46x30 cm,21x46x30 cm,"1362 Oak St, Chcago, AZ 11165","Chcago, AZ",Chcago,Chcago,,AZ,United States of America,GB,No,true,N/A,Neighbor,,Yes,Yes,0,Y,,
DEL0000055,DEL0000055,ORD0000743,ORD0000743,CUST000971,CUST000971,UPS,NULL,YV837270655,TRK50248761,21-11-2021,2021-11-21,null,NULL,2021-12-01,N/A,Delivered,In Transit,1,4,2140.0 g,25.16 kg,54x18x21 cm,54x18x21 cm,"2146 Main St, Houston, NY 31393",725 Ln Houston,Houston,Houston,NULL,NY,usa,N/A,1,Y,N/A,Left at door,<br/>handle with care,null,No,no,Y,,
DEL0000056,DEL0000056,ORD0004778,ORD0004778,CUST000838,CUST000838,ups,FedEx,JT644158526,,2023-10-19,2023-10-19,2023-10-30,N/A,10/23/2023,2023-10-23,Out for Delivery,Delivered,null,3,4.57,32.12,10x52x2 cm,10x52x2 cm,1631 Ln Chcago,"Chcago, AZ",Chcago,Chcago,AZ,AZ,usa,JP,No,FALSE,Left at door,,Call before delivery,Yes,Yes,TRUE,yes,Damaged,
DEL0000057,DEL0000057,ORD0003406,ORD0003406,CUST001057,CUST001057,fedex,USPS,UJ798717846,TRK46467382,07/27/2021,2021-07-27,null,2021-08-05,2021-07-28,,Out for Delivery,Delivered,3,4,30.2 kg,41430.0 g,58x39x17 cm,58x39x17 cm,"Jacksonville, TX","Jacksonville, TX",Jacksonville,Jacksonville,TX,,United States,GB,TRUE,No,Left at door,Recipient,Ring bell,Yes,Yes,Y,yes,Changed mind,
DEL0000058,DEL0000058,ORD0003859,ORD0003859,NaN,CUST001896,OnTrac,UPS,KR522187215,TRK59593557,2020-10-30,2020-10-30,11/01/2020,2020-11-01,11/10/2020,2020-11-10,pending,Failed,5,2,4.09,42.92,41x29x21 cm,41x29x21 cm,"Austin, NY","6546 Lake St, Austin, NY 30312",Austin,Austin,NY,NY,U.S.A,DE,FALSE,yes,Left at door,Neighbor,∑ emoji 📦,No,No,No,no,Changed mind,
DEL0000059,DEL0000059,ORD0000027,ORD0000027,CUST000437,CUST000437,Amazon Logistics,FedEx,JG719534210,TRK59101233,2020-06-18,2020-06-18,2020-06-26,2020-06-26,2020-07-03,NaN,Pending,Failed,3,,34.57 lbs,4.44,33x7x9 cm,33x7x9 cm,"New York, TX",1083 Blvd New York,New York,New York,TX,TX,U.S.A,FR,true,0,Reception,,Call before delivery,No,No,true,No,,
DEL0000060,DEL0000060,ORD0003675,ORD0003675,CUST000455,CUST000455,Amazon Logistics,DHL,PN724631659,TRK23629707,26-11-2022,2022-11-26,2022-12-01,2022-12-01,NULL,2022-12-16,pending,Returned,1,1,44.67 kg,23.5 kg,18x15x18 cm,18x15x18 cm,New Yrok,"4700 Main St, New Yrok, PA 46888",New Yrok,New Yrok,PA,PA,usa,US,Yes,0,Reception,Left at door,Ring bell,No,No,false,false,Changed mind,
